date,srcversion,block,position,cond,knobs,gbps,retransmits,rx_window_gbps,window_s,softirq_ce,system_ce,total_busy_ce,ping_ms,hs_age_s,unc_n,unc_total_ns,steal_pulled,steal_unblocked,steal_dryruns,dmesg_new,raw_ref
2026-07-16T09:05:18-05:00,40814CD3CA80D0908BF87D3,1,1,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1962,2441,4.4031,30.390,0.999,4.778,4.820,0.604,39,NA,NA,NA,NA,NA,0,iperf_b1p1_off.json
2026-07-16T09:06:00-05:00,40814CD3CA80D0908BF87D3,1,2,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.4230,2593,4.6416,30.390,0.988,4.699,4.731,0.590,81,NA,NA,NA,NA,NA,0,iperf_b1p2_steal4.json
2026-07-16T09:06:42-05:00,40814CD3CA80D0908BF87D3,1,3,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.1952,2413,4.4030,30.390,0.993,4.598,4.629,0.577,3,NA,NA,NA,NA,NA,0,iperf_b1p3_bsteal4.json
2026-07-16T09:07:25-05:00,40814CD3CA80D0908BF87D3,1,4,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.1499,2217,4.3569,30.386,0.995,4.726,4.762,0.553,46,NA,NA,NA,NA,NA,0,iperf_b1p4_both.json
2026-07-16T09:08:07-05:00,40814CD3CA80D0908BF87D3,2,1,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.0993,2139,4.3020,30.391,0.988,4.489,4.518,0.607,88,NA,NA,NA,NA,NA,0,iperf_b2p1_bsteal4.json
2026-07-16T09:08:49-05:00,40814CD3CA80D0908BF87D3,2,2,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1588,2447,4.3653,30.390,0.996,4.803,4.837,0.637,10,NA,NA,NA,NA,NA,0,iperf_b2p2_off.json
2026-07-16T09:09:31-05:00,40814CD3CA80D0908BF87D3,2,3,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.1462,2391,4.3514,30.390,0.993,4.722,4.758,0.562,52,NA,NA,NA,NA,NA,0,iperf_b2p3_both.json
2026-07-16T09:10:13-05:00,40814CD3CA80D0908BF87D3,2,4,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.3295,2551,4.5442,30.387,0.992,4.630,4.657,0.550,94,NA,NA,NA,NA,NA,0,iperf_b2p4_steal4.json
2026-07-16T09:10:55-05:00,40814CD3CA80D0908BF87D3,3,1,off,supp=0;headwake=0;steal=0;diag=0;delay=0;trig_k=0,4.1457,2568,4.3510,30.390,0.998,4.736,4.766,0.594,16,NA,NA,NA,NA,NA,0,iperf_b3p1_off.json
2026-07-16T09:11:37-05:00,40814CD3CA80D0908BF87D3,3,2,bsteal4,supp=1;headwake=1;steal=4;diag=0;delay=0;trig_k=0,4.2637,2465,4.4751,30.390,0.991,4.611,4.636,0.595,58,NA,NA,NA,NA,NA,0,iperf_b3p2_bsteal4.json
2026-07-16T09:12:19-05:00,40814CD3CA80D0908BF87D3,3,3,both,supp=1;headwake=1;steal=0;diag=0;delay=0;trig_k=0,4.1410,2591,4.3462,30.383,0.989,4.731,4.763,0.634,100,NA,NA,NA,NA,NA,0,iperf_b3p3_both.json
2026-07-16T09:13:01-05:00,40814CD3CA80D0908BF87D3,3,4,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.2195,1936,4.4303,30.382,0.986,4.531,4.557,0.630,22,NA,NA,NA,NA,NA,0,iperf_b3p4_steal4.json
2026-07-16T09:13:44-05:00,40814CD3CA80D0908BF87D3,4,1,steal4,supp=0;headwake=0;steal=4;diag=0;delay=0;trig_k=0,4.1647,2319,4.3712,30.393,0.991,4.542,4.568,0.636,65,NA,NA,NA,NA,NA,0,iperf_b4p1_steal4.json
