nohup: ignoring input
blk=1  pos=1 cond=off     | 4.1962 Gb/s (win 4.4031) | rtx=2441  | soft=0.999 busy=4.820 CE | dmesg=0
blk=1  pos=2 cond=steal4  | 4.4230 Gb/s (win 4.6416) | rtx=2593  | soft=0.988 busy=4.731 CE | dmesg=0
blk=1  pos=3 cond=bsteal4 | 4.1952 Gb/s (win 4.4030) | rtx=2413  | soft=0.993 busy=4.629 CE | dmesg=0
blk=1  pos=4 cond=both    | 4.1499 Gb/s (win 4.3569) | rtx=2217  | soft=0.995 busy=4.762 CE | dmesg=0
blk=2  pos=1 cond=bsteal4 | 4.0993 Gb/s (win 4.3020) | rtx=2139  | soft=0.988 busy=4.518 CE | dmesg=0
blk=2  pos=2 cond=off     | 4.1588 Gb/s (win 4.3653) | rtx=2447  | soft=0.996 busy=4.837 CE | dmesg=0
blk=2  pos=3 cond=both    | 4.1462 Gb/s (win 4.3514) | rtx=2391  | soft=0.993 busy=4.758 CE | dmesg=0
blk=2  pos=4 cond=steal4  | 4.3295 Gb/s (win 4.5442) | rtx=2551  | soft=0.992 busy=4.657 CE | dmesg=0
blk=3  pos=1 cond=off     | 4.1457 Gb/s (win 4.3510) | rtx=2568  | soft=0.998 busy=4.766 CE | dmesg=0
blk=3  pos=2 cond=bsteal4 | 4.2637 Gb/s (win 4.4751) | rtx=2465  | soft=0.991 busy=4.636 CE | dmesg=0
blk=3  pos=3 cond=both    | 4.1410 Gb/s (win 4.3462) | rtx=2591  | soft=0.989 busy=4.763 CE | dmesg=0
blk=3  pos=4 cond=steal4  | 4.2195 Gb/s (win 4.4303) | rtx=1936  | soft=0.986 busy=4.557 CE | dmesg=0
blk=4  pos=1 cond=steal4  | 4.1647 Gb/s (win 4.3712) | rtx=2319  | soft=0.991 busy=4.568 CE | dmesg=0
blk=4  pos=2 cond=off     | 4.1598 Gb/s (win 4.3659) | rtx=2386  | soft=0.993 busy=4.809 CE | dmesg=0
blk=4  pos=3 cond=bsteal4 | 4.1945 Gb/s (win 4.4017) | rtx=2167  | soft=0.988 busy=4.583 CE | dmesg=0
blk=4  pos=4 cond=both    | 4.1633 Gb/s (win 4.3690) | rtx=2641  | soft=0.998 busy=4.759 CE | dmesg=0
blk=5  pos=1 cond=bsteal4 | 4.2708 Gb/s (win 4.4826) | rtx=2735  | soft=0.992 busy=4.654 CE | dmesg=0
blk=5  pos=2 cond=both    | 4.1060 Gb/s (win 4.3095) | rtx=2125  | soft=0.993 busy=4.715 CE | dmesg=0
blk=5  pos=3 cond=off     | 4.1715 Gb/s (win 4.3787) | rtx=2365  | soft=0.994 busy=4.766 CE | dmesg=0
blk=5  pos=4 cond=steal4  | 4.1510 Gb/s (win 4.3573) | rtx=2240  | soft=0.992 busy=4.579 CE | dmesg=0
blk=6  pos=1 cond=bsteal4 | 4.2021 Gb/s (win 4.4110) | rtx=2565  | soft=0.989 busy=4.552 CE | dmesg=0
