core,busy_pct,softirq_pct
cpu5,100.0,96.9
cpu30,22.3,0.0
cpu14,20.6,0.0
cpu38,20.3,0.0
cpu31,19.3,0.0
cpu6,17.7,0.0
cpu7,17.3,0.8
cpu0,17.1,0.0
cpu20,16.2,0.1
cpu15,16.1,0.0
cpu1,15.9,0.0
cpu10,15.9,0.0
cpu39,15.8,0.1
cpu22,15.5,0.0
cpu21,15.4,1.0
cpu32,14.0,0.0
cpu8,13.4,0.0
cpu11,13.2,0.0
cpu13,13.2,0.1
cpu16,13.1,0.0
cpu2,12.4,0.0
cpu23,12.2,0.0
cpu3,12.2,0.1
cpu12,11.9,0.1
cpu19,11.8,0.0
cpu18,11.5,0.0
cpu4,11.4,0.0
cpu17,11.1,0.1
cpu9,11.0,0.6
cpu33,10.8,0.0
cpu37,10.4,0.0
cpu29,10.2,0.7
cpu26,10.1,1.4
cpu34,9.7,0.0
cpu24,9.6,0.0
cpu35,9.3,0.0
cpu28,9.2,0.6
cpu27,8.4,0.8
cpu36,8.2,0.0
cpu25,6.7,0.0
