core,busy_pct,softirq_pct
cpu29,59.8,38.5
cpu7,59.1,35.3
cpu26,57.3,36.5
cpu27,56.4,31.2
cpu1,55.3,28.6
cpu28,53.4,28.8
cpu3,50.7,14.9
cpu9,50.6,20.2
cpu10,39.9,0.0
cpu30,39.8,0.0
cpu31,38.9,0.0
cpu5,38.9,2.2
cpu32,38.0,0.0
cpu11,37.9,0.0
cpu19,37.2,0.0
cpu35,37.1,0.0
cpu13,37.0,0.0
cpu2,37.0,0.0
cpu12,37.0,0.0
cpu6,36.9,0.0
cpu38,36.8,0.0
cpu33,36.8,0.0
cpu39,36.6,0.0
cpu34,36.4,0.0
cpu37,36.3,0.0
cpu18,36.1,0.0
cpu0,36.1,0.0
cpu14,36.1,0.0
cpu36,36.0,0.0
cpu16,35.8,0.0
cpu4,35.8,0.0
cpu21,35.6,1.8
cpu17,35.6,0.0
cpu8,35.3,0.0
cpu15,35.1,0.0
cpu20,34.4,0.0
cpu23,34.1,0.0
cpu25,33.9,0.0
cpu22,32.9,0.0
cpu24,32.8,0.0
