date,srcversion,host,delay_ns,condition,peers,load_target_gbps,load_actual_gbps,latency_tool,lat_samples,p50_us,p99_us,p999_us,softirq_ce,system_ce,total_busy_ce,polls,wasted,wasted_frac,retransmits,drops,status,notes
2026-07-06T03:23:21-05:00,EA06EE82AFA1C813458F113,dut,0,both,8,2,0.9613,sockperf,102881,124.186,407.503,826.111,1.058,4.916,4.951,1295059,234455,0.1810,12,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.519
2026-07-06T03:24:37-05:00,EA06EE82AFA1C813458F113,dut,1000,off,8,2,0.9817,sockperf,91789,138.673,432.473,878.139,0.948,4.737,4.776,1694242,551322,0.3254,5,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.509
2026-07-06T03:25:54-05:00,EA06EE82AFA1C813458F113,dut,2000,both,8,2,1.0020,sockperf,93504,138.025,444.391,909.466,0.859,5.104,5.138,1125064,134008,0.1191,18,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.499
2026-07-06T03:27:10-05:00,EA06EE82AFA1C813458F113,dut,2000,off,8,2,1.0224,sockperf,98531,130.857,416.307,930.362,0.928,4.779,4.817,1572551,531797,0.3382,37,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.489
2026-07-06T03:28:27-05:00,EA06EE82AFA1C813458F113,dut,0,both,8,2,0.9889,sockperf,82080,163.962,489.642,853.780,1.089,7.248,7.297,995625,147088,0.1477,18,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.506
2026-07-06T03:29:43-05:00,EA06EE82AFA1C813458F113,dut,5000,off,8,2,1.0766,sockperf,86154,158.749,423.666,704.732,1.237,7.229,7.275,1518876,506850,0.3337,441,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.462
2026-07-06T03:31:00-05:00,EA06EE82AFA1C813458F113,dut,0,both,8,2,1.0021,sockperf,89197,150.557,411.466,662.870,1.263,7.407,7.455,1145988,173766,0.1516,693,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.499
2026-07-06T03:32:16-05:00,EA06EE82AFA1C813458F113,dut,1000,off,8,2,1.0490,sockperf,80471,166.407,447.558,751.258,1.283,9.104,9.155,1394447,517421,0.3711,652,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.476
2026-07-06T03:33:33-05:00,EA06EE82AFA1C813458F113,dut,2000,off,8,2,1.0693,sockperf,89843,151.060,455.778,781.240,1.244,6.778,6.826,1565442,506553,0.3236,143,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.465
2026-07-06T03:34:49-05:00,EA06EE82AFA1C813458F113,dut,10000,off,8,2,1.0020,sockperf,83735,159.786,428.702,735.761,1.247,8.308,8.358,1522242,528314,0.3471,6,0,ok,src=EA06EE82AFA1C813458F113;gov=schedutil;load_dev=0.499
