date,srcversion,block,position,cond,knobs,cpu_only,probe_mode,load_window_gbps,load_iperf_gbps,window_s,retransmits,softirq_ce,system_ce,total_busy_ce,ping_ms,hs_age_s,unc_n,unc_total_ns,steal_pulled,steal_unblocked,steal_dryruns,dmesg_new,raw_ref
2026-07-18T02:48:11-05:00,40814CD3CA80D0908BF87D3,1,1,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8014,3.1571,60.005,1063,0.948,4.285,4.312,0.582,104,845,44859905,1711240,1679818,218507,0,iperf_b1p1_bsteal4.json
2026-07-18T02:49:58-05:00,40814CD3CA80D0908BF87D3,1,2,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8017,3.5781,60.005,1799,0.882,4.291,4.325,0.560,87,9026,489554452,2208723,2151105,301318,0,iperf_b1p2_steal4.json
2026-07-18T02:52:05-05:00,40814CD3CA80D0908BF87D3,1,3,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8018,3.1572,60.005,491,0.857,4.220,4.265,0.648,87,702206,20558771148,0,0,0,0,iperf_b1p3_off.json
2026-07-18T02:53:52-05:00,40814CD3CA80D0908BF87D3,1,4,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8016,3.1571,60.005,1566,0.819,3.993,4.014,0.620,74,33694,1069676442,0,0,0,0,iperf_b1p4_both.json
2026-07-18T02:55:29-05:00,40814CD3CA80D0908BF87D3,2,1,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8014,3.1571,60.005,1234,0.865,4.203,4.231,0.637,51,1027,52753154,1820955,1784795,239645,0,iperf_b2p1_bsteal4.json
2026-07-18T02:57:26-05:00,40814CD3CA80D0908BF87D3,2,2,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8015,2.8247,60.005,614,0.846,4.439,4.472,0.632,48,38604,1215857751,0,0,0,0,iperf_b2p2_both.json
2026-07-18T02:59:13-05:00,40814CD3CA80D0908BF87D3,2,3,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8018,3.1571,60.004,839,0.844,3.869,3.882,0.604,35,685463,19093059817,0,0,0,0,iperf_b2p3_off.json
2026-07-18T03:01:20-05:00,40814CD3CA80D0908BF87D3,2,4,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8013,2.8247,60.004,1229,0.836,4.046,4.073,0.607,42,9558,494075914,2229208,2174858,311589,0,iperf_b2p4_steal4.json
2026-07-18T03:03:07-05:00,40814CD3CA80D0908BF87D3,3,1,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8018,3.1572,60.005,812,0.784,3.434,3.447,0.643,29,8677,438210149,2321717,2261314,315898,0,iperf_b3p1_steal4.json
2026-07-18T03:04:54-05:00,40814CD3CA80D0908BF87D3,3,2,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8015,3.1572,60.005,241,0.664,3.231,3.247,0.549,16,29366,941569599,0,0,0,0,iperf_b3p2_both.json
2026-07-18T03:06:51-05:00,40814CD3CA80D0908BF87D3,3,3,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8016,3.1572,60.004,651,0.713,3.280,3.292,0.587,13,752261,21043055931,0,0,0,0,iperf_b3p3_off.json
2026-07-18T03:08:59-05:00,40814CD3CA80D0908BF87D3,3,4,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8016,2.8246,60.005,1700,0.765,3.427,3.444,0.553,20,933,48422548,1814175,1777079,238043,0,iperf_b3p4_bsteal4.json
2026-07-18T03:10:56-05:00,40814CD3CA80D0908BF87D3,4,1,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8016,3.1570,60.004,56,0.721,3.355,3.366,0.645,18,32951,1067579245,0,0,0,0,iperf_b4p1_both.json
2026-07-18T03:13:03-05:00,40814CD3CA80D0908BF87D3,4,2,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8017,3.1571,60.005,940,0.725,3.398,3.413,0.665,25,833893,24016007076,0,0,0,0,iperf_b4p2_off.json
2026-07-18T03:14:50-05:00,40814CD3CA80D0908BF87D3,4,3,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8017,3.1570,60.005,356,0.783,3.438,3.451,0.661,12,11806,737799278,2426042,2361278,352706,0,iperf_b4p3_steal4.json
2026-07-18T03:16:37-05:00,40814CD3CA80D0908BF87D3,4,4,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8017,3.1570,60.005,1199,0.800,3.479,3.496,0.627,119,900,49097865,1794152,1761302,239921,0,iperf_b4p4_bsteal4.json
2026-07-18T03:18:44-05:00,40814CD3CA80D0908BF87D3,5,1,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8018,2.5555,60.005,108,0.685,3.329,3.356,0.618,0,795325,22897117801,0,0,0,0,iperf_b5p1_off.json
2026-07-18T03:20:21-05:00,40814CD3CA80D0908BF87D3,5,2,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8017,3.5772,60.004,1123,0.805,3.640,3.661,0.653,97,10886,596238633,2410375,2353225,331150,0,iperf_b5p2_steal4.json
2026-07-18T03:22:18-05:00,40814CD3CA80D0908BF87D3,5,3,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8018,3.1570,60.005,88,0.827,3.980,4.008,0.588,88,1391,90827388,2120499,2070297,275791,0,iperf_b5p3_bsteal4.json
2026-07-18T03:24:05-05:00,40814CD3CA80D0908BF87D3,5,4,both,supp=1;headwake=1;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8016,3.1571,60.005,894,0.738,3.974,4.014,0.616,75,34394,1116045601,0,0,0,0,iperf_b5p4_both.json
2026-07-18T03:25:52-05:00,40814CD3CA80D0908BF87D3,6,1,off,supp=0;headwake=0;steal=0;diag=1;delay=0;trig_k=0,1,none,3.8017,3.1570,60.005,121,0.888,4.453,4.492,0.581,62,682198,19401030275,0,0,0,0,iperf_b6p1_off.json
2026-07-18T03:27:29-05:00,40814CD3CA80D0908BF87D3,6,2,steal4,supp=0;headwake=0;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8027,3.5779,60.005,1288,0.894,4.204,4.242,0.586,39,8778,456561030,2261424,2200489,308778,0,iperf_b6p2_steal4.json
2026-07-18T03:29:06-05:00,40814CD3CA80D0908BF87D3,6,3,bsteal4,supp=1;headwake=1;steal=4;diag=1;delay=0;trig_k=0,1,none,3.8015,3.5782,60.005,1298,0.884,4.491,4.531,0.638,16,1107,59147066,1918581,1870823,274841,0,iperf_b6p3_bsteal4.json
