cond,rtt_ms
stock,1.49
stock,1.65
stock,1.32
stock,1.10
stock,1.19
stock,0.901
stock,1.77
stock,1.64
stock,1.65
stock,2.41
stock,2.14
stock,0.696
stock,0.593
stock,0.942
stock,1.12
stock,1.17
stock,0.974
stock,1.23
stock,1.42
stock,1.87
stock,1.48
stock,1.42
stock,1.43
stock,1.22
stock,0.996
stock,1.25
stock,1.39
stock,1.36
stock,1.33
stock,1.55
stock,1.41
stock,1.59
stock,1.61
stock,2.26
stock,1.58
stock,1.54
stock,1.46
stock,1.45
stock,1.36
stock,1.57
stock,1.60
stock,1.26
stock,1.19
stock,1.76
stock,1.38
stock,1.55
stock,2.03
stock,1.39
stock,1.87
stock,1.85
stock,2.35
stock,2.12
stock,2.33
stock,0.727
stock,1.06
stock,0.724
stock,1.04
stock,1.32
stock,0.813
stock,1.07
stock,1.58
stock,1.70
stock,1.38
stock,1.73
stock,2.03
stock,1.64
stock,1.91
stock,1.98
stock,1.55
stock,1.68
stock,1.73
stock,1.79
stock,2.28
stock,1.65
stock,1.44
stock,1.62
stock,1.47
stock,1.46
stock,1.68
stock,1.72
stock,1.49
stock,1.51
stock,1.96
stock,1.89
stock,1.96
stock,1.78
stock,1.79
stock,1.73
stock,2.10
stock,2.20
stock,1.51
stock,1.10
stock,0.785
stock,0.632
stock,1.48
stock,1.20
stock,1.09
stock,1.77
stock,1.21
stock,1.40
stock,1.80
stock,1.48
stock,1.93
stock,1.66
stock,1.82
stock,1.60
stock,1.18
stock,2.35
stock,1.46
stock,1.93
stock,2.21
stock,1.69
stock,1.34
stock,1.48
stock,1.49
stock,1.89
stock,1.84
stock,1.77
stock,1.44
stock,2.34
stock,1.10
stock,1.49
stock,1.32
stock,1.48
stock,1.84
stock,1.46
stock,1.77
stock,1.39
stock,1.12
stock,2.06
stock,1.66
stock,1.85
stock,1.65
stock,1.86
stock,1.98
stock,1.56
stock,1.51
stock,1.86
stock,1.64
stock,1.93
stock,1.74
stock,1.80
stock,1.22
stock,1.68
stock,2.11
stock,1.90
stock,1.93
stock,1.41
stock,1.62
stock,1.81
stock,1.45
stock,1.76
stock,2.29
stock,1.61
stock,1.59
stock,1.91
stock,2.63
stock,1.65
stock,1.92
stock,1.32
stock,1.94
stock,1.59
stock,1.94
stock,1.30
stock,1.87
stock,2.21
stock,1.27
stock,0.813
stock,0.738
stock,0.860
stock,1.17
stock,1.17
stock,1.30
stock,1.51
stock,1.94
stock,1.95
stock,2.12
stock,1.47
stock,2.00
stock,2.05
stock,1.37
stock,1.53
stock,1.77
stock,2.01
stock,1.84
stock,1.52
stock,1.72
stock,2.09
stock,1.61
stock,1.45
stock,2.06
stock,1.65
stock,1.48
stock,1.89
stock,1.58
stock,2.06
stock,1.93
stock,1.97
stock,1.78
stock,0.989
stock,1.35
stock,1.52
stock,1.09
stock,1.34
stock,1.18
stock,1.31
stock,1.32
stock,1.71
stock,1.17
stock,1.66
stock,1.60
stock,1.70
stock,1.35
stock,1.40
stock,2.26
stock,1.84
stock,1.96
stock,1.62
stock,1.68
stock,1.84
stock,0.895
stock,1.44
stock,1.26
stock,1.04
stock,1.44
stock,1.85
stock,1.64
stock,1.59
stock,1.69
stock,1.81
stock,1.73
stock,1.87
stock,1.78
stock,1.68
stock,1.57
stock,1.09
stock,1.30
stock,1.86
stock,1.34
stock,1.59
stock,2.26
stock,1.63
stock,1.13
stock,1.70
stock,1.52
stock,2.13
stock,1.53
stock,1.33
stock,2.05
stock,1.58
stock,2.23
stock,2.21
stock,2.22
stock,0.926
stock,1.13
stock,0.725
stock,1.18
stock,1.22
stock,1.59
stock,1.51
stock,1.48
stock,1.69
stock,1.92
stock,1.95
stock,1.57
stock,2.07
stock,1.79
stock,1.43
stock,1.90
stock,1.66
stock,1.83
stock,1.70
stock,1.33
stock,1.49
stock,1.73
stock,2.19
stock,2.26
stock,2.04
stock,1.78
stock,1.63
stock,1.27
stock,1.85
stock,1.49
stock,1.62
stock,1.41
stock,1.51
stock,1.80
stock,2.10
stock,2.11
stock,1.50
stock,0.652
stock,1.17
stock,1.01
stock,1.23
stock,1.08
stock,1.66
stock,1.49
stock,1.57
stock,1.23
stock,1.55
stock,1.86
stock,1.55
stock,2.06
stock,1.65
stock,1.82
stock,1.97
stock,1.85
stock,1.49
stock,2.26
stock,1.60
stock,1.47
stock,2.17
stock,1.50
stock,1.08
stock,1.20
stock,0.953
stock,1.17
stock,1.45
stock,1.49
stock,1.56
stock,1.28
stock,1.25
stock,1.73
stock,1.87
stock,1.71
stock,1.70
stock,1.69
stock,2.11
stock,1.71
stock,1.94
stock,1.77
stock,2.01
stock,1.98
stock,2.22
stock,1.88
stock,2.13
stock,1.69
stock,1.45
stock,0.866
stock,1.24
stock,1.87
stock,1.48
stock,1.58
stock,1.72
stock,1.69
stock,1.58
stock,1.15
stock,0.764
stock,1.05
stock,1.23
stock,1.46
stock,1.03
stock,1.30
stock,1.34
stock,1.21
stock,2.01
stock,1.32
stock,1.45
stock,1.78
stock,1.54
stock,1.43
stock,1.73
stock,1.72
stock,1.83
stock,1.94
stock,1.42
stock,2.21
stock,1.30
stock,1.03
stock,0.928
stock,0.920
stock,1.37
stock,1.36
stock,1.86
stock,1.32
stock,1.29
stock,2.24
stock,1.80
stock,1.39
stock,2.15
stock,1.92
stock,1.35
stock,1.54
stock,1.13
stock,1.85
stock,1.53
stock,1.64
stock,1.75
stock,1.76
stock,1.45
stock,1.71
stock,1.46
stock,1.66
stock,1.75
stock,1.71
stock,1.78
stock,2.08
stock,1.27
stock,1.59
stock,1.62
stock,1.81
stock,1.42
stock,1.68
stock,1.61
stock,1.80
stock,2.21
stock,2.14
stock,2.25
stock,2.04
stock,1.13
stock,0.714
stock,0.841
stock,0.884
stock,0.934
stock,1.38
stock,1.39
stock,1.55
stock,1.07
stock,1.37
stock,1.20
stock,1.90
