date,srcversion,cond,rep,load_actual_gbps,lat_samples,p50_us,p99_us,p999_us,softirq_ce,system_ce,total_busy_ce,unc_n,unc_total_ns,unc_mean_us,unc_gt128us,steal_pulled,steal_unblocked,steal_dryruns,retransmits
2026-07-10T15:43:59-05:00,40814CD3CA80D0908BF87D3,steal,2,1.5727,70086,187.543,610.358,1060.266,1.336,8.930,8.972,19395,4561796694,235.2,7947,420897,319561,198280,35
2026-07-10T15:44:47-05:00,40814CD3CA80D0908BF87D3,off,1,1.5727,79891,161.803,608.610,967.054,1.341,7.431,7.477,224629,10544129869,46.9,12216,0,0,0,74
2026-07-10T15:45:36-05:00,40814CD3CA80D0908BF87D3,steal,4,1.5727,72417,185.254,567.372,971.532,1.270,7.824,7.862,25206,3789978965,150.4,7154,458280,369316,236840,44
2026-07-10T15:46:24-05:00,40814CD3CA80D0908BF87D3,both,3,1.5727,69449,189.906,613.013,1085.328,1.203,8.108,8.152,52060,2694816828,51.8,2634,0,0,0,68
2026-07-10T15:47:13-05:00,40814CD3CA80D0908BF87D3,both,2,1.5727,75390,175.504,593.529,907.592,1.262,6.303,6.348,58942,2129698542,36.1,727,0,0,0,20
2026-07-10T15:48:01-05:00,40814CD3CA80D0908BF87D3,off,4,1.5727,84599,152.650,470.589,868.009,1.186,6.595,6.640,224527,8462513651,37.7,5954,0,0,0,11
2026-07-10T15:48:50-05:00,40814CD3CA80D0908BF87D3,bsteal,1,1.5727,71406,187.595,617.877,986.709,1.242,8.002,8.042,5045,435932389,86.4,631,367094,333637,186282,1
2026-07-10T15:49:38-05:00,40814CD3CA80D0908BF87D3,off,3,1.5727,69214,193.067,626.765,1000.845,1.244,8.078,8.120,192038,14226883198,74.1,22917,0,0,0,1
2026-07-10T15:50:26-05:00,40814CD3CA80D0908BF87D3,bsteal,2,1.5727,68747,194.510,651.844,1149.170,1.231,8.456,8.497,5705,426145352,74.7,553,370817,343646,203624,1
2026-07-10T15:51:15-05:00,40814CD3CA80D0908BF87D3,bsteal,4,1.5727,69488,188.748,626.833,1015.960,1.169,6.883,6.922,8138,452356497,55.6,452,403897,380711,253078,2
2026-07-10T15:52:33-05:00,40814CD3CA80D0908BF87D3,both,4,1.4863,70529,189.862,615.714,1006.353,1.266,7.835,7.885,61659,2718549908,44.1,2354,0,0,0,3419
2026-07-10T15:53:22-05:00,40814CD3CA80D0908BF87D3,steal,3,1.5728,74808,177.257,599.428,940.418,1.308,7.203,7.237,21048,1958454763,93.0,3075,468263,420961,298995,4
2026-07-10T15:54:10-05:00,40814CD3CA80D0908BF87D3,both,1,1.5727,71870,181.004,634.654,1052.139,1.286,7.642,7.683,61539,2619751568,42.6,1918,0,0,0,12
2026-07-10T15:54:59-05:00,40814CD3CA80D0908BF87D3,off,2,1.5727,89549,134.703,564.527,851.597,1.237,6.776,6.820,209083,8457238563,40.4,6429,0,0,0,158
2026-07-10T15:55:47-05:00,40814CD3CA80D0908BF87D3,bsteal,3,1.5727,78286,168.559,575.301,848.836,1.255,6.008,6.053,10092,438740088,43.5,303,456007,428884,280911,290
2026-07-10T15:56:45-05:00,40814CD3CA80D0908BF87D3,steal,1,1.4952,73172,185.063,523.473,921.057,1.311,8.769,8.805,20873,4099701795,196.4,7857,411242,320273,193838,60
