date,commit,host,condition,peers,load_target_gbps,load_actual_gbps,latency_tool,lat_samples,p50_us,p99_us,p999_us,softirq_ce,system_ce,total_busy_ce,wasted_poll_pct,fresh_wake_pct,retransmits,drops,nic_irq_count,sdfn_state,notes
2026-07-01T06:11:04-05:00,EA06EE82AFA1C813458F113,dut,off,8,2,1.0981,sockperf,43835,239.324,1183.417,1381.208,0.444,1.883,1.902,NA,NA,817,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:12:11-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.3438,sockperf,35802,325.783,1104.544,1266.264,0.992,5.481,5.539,NA,NA,19085,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:13:27-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,2.8815,sockperf,39013,304.160,942.134,1104.829,1.017,5.615,5.699,NA,NA,3892,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:14:04-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1635,sockperf,20313,722.067,1171.242,1321.694,1.039,5.847,5.934,NA,NA,55114,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:14:36-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,42904,345.703,370.615,377.672,0.009,0.185,0.196,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:15:13-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1290,sockperf,19686,739.483,1189.859,1319.688,1.048,5.776,5.858,NA,NA,54581,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:15:45-05:00,EA06EE82AFA1C813458F113,dut,off,8,0,0.0000,sockperf,44486,334.666,367.400,375.941,0.017,0.272,0.288,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:17:02-05:00,EA06EE82AFA1C813458F113,dut,off,8,4,3.0567,sockperf,45198,256.772,844.107,994.958,0.961,5.109,5.155,NA,NA,5050,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:17:35-05:00,EA06EE82AFA1C813458F113,dut,both,8,0,0.0000,sockperf,44282,335.552,367.977,374.461,0.015,0.183,0.193,NA,NA,0,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
2026-07-01T06:18:11-05:00,EA06EE82AFA1C813458F113,dut,both,8,6,4.1363,sockperf,20061,732.956,1189.551,1316.054,1.041,5.874,5.956,NA,NA,56773,NA,0,sdfn,src=EA06EE82AFA1C813458F113;gov=schedutil
